BASIN,SUBBASIN,BASIN NAME,SUBBASIN NAME,SITE NO,SALTWATER INTRUSION,WL FREQUENCY,PERIOD (YEARS),WQ,WQ Frequency,TEL,FORMATION,LAT,LONG
121,1210,Don,Don River,12100277A,Yes,4,1,,,,,-20.0995,148.0782
121,1210,Don,Don River,12100333A,No,4,1,,,,,-20.0096,148.1818
121,1210,Don,Don River,12100371A,No,4,1,,,,,-20.0153,148.1792
121,1210,Don,Don River,12100473A,Yes,4,1,,,,,-20.0707,148.1594
121,1210,Don,Don River,12100456A,No,4,1,,,,,-19.7743,147.4189
121,1210,Don,Don River,12100142A,Yes,4,1,,,,,-19.9871,148.1363
121,1210,Don,Don River,12100281A,Yes,4,1,,,,,-20.1325,148.1493
121,1210,Don,Don River,12100296A,No,2,1,,,Yes,,-20.0182,148.1911
121,1210,Don,Don River,12100166B,No,4,1,,,,,-19.7313,147.5326
121,1210,Don,Don River,12100166C,No,4,1,,,,,-19.7313,147.5326
121,1210,Don,Don River,12100166E,No,4,1,,,,,-19.7313,147.5326
121,1210,Don,Don River,12100166A,No,4,1,,,,,-19.7313,147.5326
121,1210,Don,Don River,12100166D,No,4,1,,,,,-19.7313,147.5326
121,1210,Don,Don River,12100166F,No,4,1,,,,,-19.7313,147.5326
121,1210,Don,Don River,12100131B,Yes,4,1,,,,,-19.9919,148.2407
121,1210,Don,Don River,12100131A,No,4,1,,,,,-19.9919,148.2407
121,1210,Don,Don River,12100200A,Yes,4,1,,,,,-20.1218,148.0530
121,1210,Don,Don River,12100201A,Yes,4,1,,,,,-20.1762,147.9800
121,1210,Don,Don River,12100322B,No,4,1,,,,,-19.9813,148.2128
121,1210,Don,Don River,12100513A,Yes,4,1,,,,,-20.0601,148.1611
121,1210,Don,Don River,12100044A,Yes,4,1,,,,,-20.0312,148.1983
121,1210,Don,Don River,12100336A,No,4,1,,,,,-19.9743,148.2059
121,1210,Don,Don River,12100365B,No,4,1,,,,,-19.9764,148.1855
121,1210,Don,Don River,12100365A,No,4,1,,,,,-19.9764,148.1855
121,1210,Don,Don River,12100031A,Yes,4,1,,,,,-20.0401,148.1128
121,1210,Don,Don River,12100321B,No,4,1,,,,,-19.9758,148.2206
121,1210,Don,Don River,12100287A,Yes,4,1,,,,,-20.0476,148.1159
121,1210,Don,Don River,12100358B,No,4,1,,,,,-19.9779,148.2247
121,1210,Don,Don River,12100411A,Yes,4,1,,,,,-20.0071,148.2020
121,1210,Don,Don River,12100040A,Yes,4,1,,,,,-20.0467,148.1936
121,1210,Don,Don River,12100328A,No,4,1,,,,,-19.9828,148.1773
121,1210,Don,Don River,12100144B,Yes,4,1,,,,,-19.9786,148.1428
121,1210,Don,Don River,12100144A,No,4,1,,,,,-19.9786,148.1428
121,1210,Don,Don River,12100364B,No,4,1,,,,,-19.9773,148.1914
121,1210,Don,Don River,12100152A,Yes,4,1,,,,,-20.0524,148.1356
121,1210,Don,Don River,12100289A,Yes,4,1,,,,,-20.0489,148.1185
121,1210,Don,Don River,12100474A,Yes,4,1,,,,,-20.0700,148.1635
121,1210,Don,Don River,12100421A,No,4,1,,,,,-19.7505,147.4456
121,1210,Don,Don River,12100042A,Yes,4,1,,,,,-20.0291,148.1781
121,1210,Don,Don River,12100149A,Yes,4,1,,,,,-20.0154,148.1391
121,1210,Don,Don River,12100197A,Yes,4,1,,,,,-20.0793,148.1339
121,1210,Don,Don River,12100274A,Yes,4,1,,,,,-20.0603,148.1188
121,1210,Don,Don River,12100329B,No,4,1,,,,,-19.9928,148.1954
121,1210,Don,Don River,12100132A,Yes,4,1,,,,,-20.0168,148.1975
121,1210,Don,Don River,12100320A,No,4,1,,,,,-19.9740,148.2167
121,1210,Don,Don River,12100343A,No,4,1,,,,,-20.0247,148.1900
121,1210,Don,Don River,12100067A,Yes,4,1,,,,,-19.9912,148.1840
121,1210,Don,Don River,12100162A,Yes,4,1,,,,,-20.0626,148.1478
121,1210,Don,Don River,12100283A,Yes,4,1,,,,,-20.1320,148.1429
121,1210,Don,Don River,12100338B,No,4,1,,,,,-19.9892,148.2006
121,1210,Don,Don River,12100338A,No,4,1,,,,,-19.9892,148.2006
121,1210,Don,Don River,12100130A,No,4,1,,,,,-19.9743,148.2291
121,1210,Don,Don River,12100130B,Yes,4,1,,,,,-19.9743,148.2291
121,1210,Don,Don River,12100130C,Yes,4,1,,,,,-19.9743,148.2291
121,1210,Don,Don River,12100292A,Yes,4,1,,,,,-20.0828,148.1250
121,1210,Don,Don River,12100294A,Yes,4,1,,,,,-20.0509,148.1696
121,1210,Don,Don River,12100437A,No,4,1,,,,,-19.8629,147.6889
121,1210,Don,Don River,12100517A,No,4,1,,,,,-19.7520,147.4757
121,1210,Don,Don River,12100353A,No,4,1,,,,,-20.0657,148.1614
121,1210,Don,Don River,12100361A,No,4,1,,,,,-19.9904,148.2292
121,1210,Don,Don River,12100369A,No,4,1,,,,,-19.9950,148.1759
121,1210,Don,Don River,12100509A,Yes,4,1,,,,,-20.0032,148.1930
121,1210,Don,Don River,12100206C,Yes,4,1,,,,,-19.9989,148.1616
121,1210,Don,Don River,12100206A,No,4,1,,,,,-19.9989,148.1616
121,1210,Don,Don River,12100206B,No,4,1,,,,,-19.9989,148.1616
121,1210,Don,Don River,12100032A,Yes,4,1,,,,,-20.0386,148.1269
121,1210,Don,Don River,12100156A,Yes,4,1,,,,,-20.0168,148.1431
121,1210,Don,Don River,12100346A,No,4,1,,,,,-20.0322,148.1822
121,1210,Don,Don River,12100412A,Yes,4,1,,,,,-20.0069,148.1999
121,1210,Don,Don River,12100466A,No,4,1,,,,,-19.7776,147.5033
121,1210,Don,Don River,12100290A,Yes,4,1,,,,,-20.0505,148.1262
121,1210,Don,Don River,12100039A,No,4,1,,,Yes,,-20.0462,148.1852
121,1210,Don,Don River,12100344A,No,4,1,,,,,-20.0301,148.1894
121,1210,Don,Don River,12100344B,No,4,1,,,,,-20.0301,148.1894
121,1210,Don,Don River,12100113A,No,4,1,,,,,-19.7873,147.5267
121,1210,Don,Don River,12100113B,No,4,1,,,,,-19.7873,147.5267
121,1210,Don,Don River,12100318A,No,4,1,,,,,-19.9740,148.2167
121,1210,Don,Don River,12100161A,Yes,4,1,,,,,-20.0167,148.1573
121,1210,Don,Don River,12100207B,No,4,1,,,,,-19.9901,148.1761
121,1210,Don,Don River,12100207A,No,4,1,,,,,-19.9901,148.1761
121,1210,Don,Don River,12100207C,Yes,4,1,,,,,-19.9901,148.1761
121,1210,Don,Don River,12100095B,Yes,4,1,,,,,-19.9781,148.2017
121,1210,Don,Don River,12100095A,No,4,1,,,,,-19.9781,148.2017
121,1210,Don,Don River,12100006A,No,4,1,Yes,,,,-19.7356,147.4808
121,1210,Don,Don River,12100273A,Yes,4,1,,,,,-20.0604,148.1200
121,1210,Don,Don River,12100291A,Yes,4,1,,,,,-20.0507,148.1282
121,1210,Don,Don River,12100150A,Yes,4,1,,,,,-20.0273,148.1386
121,1210,Don,Don River,12100190A,Yes,4,1,,,,,-20.2516,148.1194
121,1210,Don,Don River,12100191A,Yes,4,1,,,,,-20.2065,148.1313
121,1210,Don,Don River,12100279A,Yes,4,1,,,,,-20.1206,148.1228
121,1210,Don,Don River,12100049A,No,4,1,,,,,-20.0196,148.1478
121,1210,Don,Don River,12100129B,Yes,4,1,,,,,-19.9790,148.2323
121,1210,Don,Don River,12100129C,Yes,4,1,,,,,-19.9790,148.2323
121,1210,Don,Don River,12100129A,No,4,1,,,,,-19.9790,148.2323
121,1210,Don,Don River,12100315B,No,4,1,,,,,-19.9721,148.1888
121,1210,Don,Don River,12100315A,No,4,1,,,,,-19.9721,148.1888
121,1210,Don,Don River,12100033A,Yes,4,1,,,,,-20.0434,148.1439
121,1210,Don,Don River,12100097A,Yes,4,1,,,,,-19.9746,148.2224
121,1210,Don,Don River,12100097B,Yes,4,1,,,,,-19.9746,148.2224
121,1210,Don,Don River,12100293A,No,4,1,,,,,-20.1012,148.1364
121,1210,Don,Don River,12100355A,No,4,1,,,,,-20.0661,148.1661
121,1210,Don,Don River,12100311B,No,4,1,,,,,-19.9890,148.1843
121,1210,Don,Don River,12100326A,No,4,1,,,Yes,,-19.9814,148.1971
121,1210,Don,Don River,12100209A,No,4,1,,,,,-19.7104,147.3802
121,1210,Don,Don River,12100098A,Yes,4,1,,,,,-20.0032,148.2084
121,1210,Don,Don River,12100362A,No,4,1,,,,,-19.9851,148.2100
121,1210,Don,Don River,12100313A,No,4,1,,,,,-19.9747,148.1975
121,1210,Don,Don River,12100434A,No,2,1,,,,,-19.9048,147.6930
121,1210,Don,Don River,12100512A,Yes,4,1,,,,,-19.9972,148.2141
121,1210,Don,Don River,12100314A,No,4,1,,,,,-19.9693,148.1989
121,1210,Don,Don River,12100314B,No,4,1,,,,,-19.9693,148.1989
121,1210,Don,Don River,12100317A,No,4,1,,,,,-19.9851,148.1969
121,1210,Don,Don River,12100424A,No,4,1,,,,,-19.7737,147.5164
121,1210,Don,Don River,12100518A,No,4,1,Yes,,,,-19.7331,147.4005
121,1210,Don,Don River,12100078A,Yes,4,1,,,,,-19.9905,148.2154
121,1210,Don,Don River,12100284A,Yes,4,1,,,,,-20.1211,148.1325
121,1210,Don,Don River,12100298A,Yes,4,1,,,,,-20.0192,148.1980
121,1210,Don,Don River,12100341A,No,4,1,,,,,-20.0114,148.1957
121,1210,Don,Don River,12100360B,No,4,1,,,,,-19.9814,148.2247
121,1210,Don,Don River,12100370B,No,4,1,,,,,-19.9952,148.1703
121,1210,Don,Don River,12100370A,No,4,1,,,,,-19.9952,148.1703
121,1210,Don,Don River,12100051A,No,4,1,,,,,-20.0154,148.1841
121,1210,Don,Don River,12100099A,Yes,4,1,,,,,-19.9982,148.1949
121,1210,Don,Don River,12100158A,Yes,4,1,,,,,-19.9959,148.1414
121,1210,Don,Don River,12100004A,No,4,1,,,,,-19.7377,147.4506
121,1210,Don,Don River,12100139D,Yes,4,1,,,,,-19.9733,148.1987
121,1210,Don,Don River,12100139B,No,4,1,,,,,-19.9733,148.1987
121,1210,Don,Don River,12100139C,No,4,1,,,,,-19.9733,148.1987
121,1210,Don,Don River,12100139A,No,4,1,,,,,-19.9733,148.1987
121,1210,Don,Don River,12100297A,Yes,4,1,,,Yes,,-20.0192,148.1979
121,1210,Don,Don River,12100342B,No,4,1,,,,,-19.9940,148.1925
121,1210,Don,Don River,12100433A,No,2,1,,,,,-19.8934,147.6961
121,1210,Don,Don River,12100140A,No,4,1,,,,,-19.9745,148.2104
121,1210,Don,Don River,12100140B,No,4,1,,,,,-19.9745,148.2104
121,1210,Don,Don River,12100316A,No,4,1,,,,,-19.9802,148.1851
121,1210,Don,Don River,12100316B,No,4,1,,,,,-19.9802,148.1851
121,1210,Don,Don River,12100354B,No,4,1,,,,,-20.0654,148.1746
121,1210,Don,Don River,12100354A,No,4,1,,,,,-20.0654,148.1746
121,1210,Don,Don River,12100413A,No,4,1,,,,,-20.0169,148.1960
121,1210,Don,Don River,12100511A,Yes,4,1,,,,,-19.9840,148.2259
121,1210,Don,Don River,12100330A,No,4,1,,,,,-20.0037,148.1717
121,1210,Don,Don River,12100285A,No,4,1,,,Yes,,-20.0945,148.1400
121,1210,Don,Don River,12100359B,No,4,1,,,,,-19.9761,148.2238
121,1210,Don,Don River,12100438A,No,2,1,,,,,-19.8679,147.6666
121,1210,Don,Don River,12100275A,Yes,4,1,,,,,-20.0603,148.1188
121,1210,Don,Don River,12100514A,Yes,4,1,,,,,-20.1492,148.1479
121,1210,Don,Don River,12100109A,No,4,1,,,,,-19.8012,147.4042
121,1210,Don,Don River,12100215A,Yes,4,1,,,,,-19.9966,148.2086
121,1210,Don,Don River,12100215B,Yes,4,1,,,,,-19.9966,148.2086
121,1210,Don,Don River,12100271A,No,4,1,,,,,-20.0819,148.1203
121,1210,Don,Don River,12100300A,No,4,1,,,,,-19.7302,147.4639
121,1210,Don,Don River,12100307A,No,4,1,Yes,,,,-19.8398,147.4944
121,1210,Don,Don River,12100203A,Yes,4,1,,,,,-20.0407,148.1487
121,1210,Don,Don River,12100216B,Yes,4,1,,,,,-19.9894,148.2056
121,1210,Don,Don River,12100216A,Yes,4,1,,,,,-19.9894,148.2056
121,1210,Don,Don River,12100312B,No,4,1,,,,,-19.9933,148.1836
121,1210,Don,Don River,12100151A,No,4,1,,,Yes,,-20.0394,148.1374
121,1210,Don,Don River,12100301A,No,4,1,Yes,,,,-19.7360,147.4333
121,1210,Don,Don River,12100521A,No,4,1,,,,,-19.7543,147.4292
121,1210,Don,Don River,12100143A,Yes,4,1,,,,,-19.9985,148.1316
121,1210,Don,Don River,12100204A,Yes,4,1,,,,,-20.1506,148.1252
121,1210,Don,Don River,12100077A,No,4,1,,,,,-19.9905,148.2154
121,1210,Don,Don River,12100157A,Yes,4,1,,,,,-19.9974,148.1529
121,1210,Don,Don River,12100211A,No,4,1,,,,,-20.1599,148.1294
121,1210,Don,Don River,12100324A,No,4,1,,,Yes,,-19.9911,148.2189
121,1210,Don,Don River,12100507A,Yes,4,1,,,,,-20.0052,148.2020
121,1210,Don,Don River,12100510A,Yes,4,1,,,,,-19.9875,148.2194
121,1210,Don,Don River,12100366A,No,4,1,,,,,-19.9967,148.1832
121,1210,Don,Don River,12100366B,No,4,1,,,,,-19.9967,148.1832
121,1210,Don,Don River,12001110A,No,4,1,,,,,-19.7392,147.3508
121,1210,Don,Don River,12100089A,Yes,4,1,,,,,-19.9814,148.2149
121,1210,Don,Don River,12100148A,Yes,4,1,,,,,-20.0237,148.1309
121,1210,Don,Don River,12100153A,Yes,4,1,,,,,-20.0608,148.1246
121,1210,Don,Don River,12100426A,No,4,1,,,,,-19.7834,147.5411
121,1210,Don,Don River,12100057A,Yes,4,1,,,,,-19.9999,148.1749
121,1210,Don,Don River,12100198A,Yes,4,1,,,,,-20.0912,148.0969
121,1210,Don,Don River,12100205A,No,4,1,,,,,-19.9928,148.1561
121,1210,Don,Don River,12100205C,Yes,4,1,,,,,-19.9928,148.1561
121,1210,Don,Don River,12100205B,Yes,4,1,,,,,-19.9928,148.1561
121,1210,Don,Don River,12100208C,No,4,1,,,,,-19.9807,148.1911
121,1210,Don,Don River,12100208B,Yes,4,1,,,,,-19.9807,148.1911
121,1210,Don,Don River,12100208A,Yes,4,1,,,,,-19.9807,148.1911
121,1210,Don,Don River,12100030A,No,4,1,,,,,-20.0596,148.1758
121,1210,Don,Don River,12100194A,Yes,4,1,,,,,-20.1243,148.1008
121,1210,Don,Don River,12100351A,No,4,1,,,,,-20.0651,148.1713
121,1210,Don,Don River,12100352A,No,4,1,,,,,-20.0725,148.1657
121,1210,Don,Don River,12100515A,Yes,4,1,,,,,-20.0836,148.1544
121,1210,Don,Don River,12100467A,No,4,1,,,,,-19.8107,147.4811
121,1210,Don,Don River,12100332B,No,4,1,,,,,-19.9921,148.1907
121,1210,Don,Don River,12100332A,No,4,1,,,,,-19.9921,148.1907
121,1210,Don,Don River,12100428A,No,4,1,Yes,,,,-19.8210,147.5702
121,1210,Don,Don River,12100058A,Yes,4,1,,,,,-20.0010,148.1829
121,1210,Don,Don River,12100134A,No,4,1,,,,,-19.9820,148.2198
121,1210,Don,Don River,12100357A,No,4,1,,,,,-19.9792,148.2202
121,1210,Don,Don River,12100414A,No,4,1,,,,,-20.0168,148.1975
121,1210,Don,Don River,12100339A,No,2,1,,,Yes,,-20.0023,148.1873
121,1210,Don,Don River,12100046A,Yes,4,1,,,,,-20.0319,148.2011
121,1210,Don,Don River,12100090A,Yes,4,1,,,,,-19.9841,148.2262
121,1210,Don,Don River,12100155A,Yes,4,1,,,,,-20.0303,148.1617
121,1210,Don,Don River,12100280A,Yes,4,1,,,,,-20.1071,148.1337
121,1210,Don,Don River,12100457A,No,4,1,,,,,-19.7796,147.3930
121,1210,Don,Don River,12100082A,Yes,4,1,,,,,-19.9890,148.2291
121,1210,Don,Don River,12100276A,No,4,1,,,,,-20.1023,148.1007
121,1210,Don,Don River,12100470A,Yes,4,1,,,,,-19.7782,147.4475
121,1210,Don,Don River,12100120A,No,2,1,,,,,-19.8843,147.7014
121,1210,Don,Don River,12100459A,No,4,1,,,,,-19.7601,147.4005
121,1210,Don,Don River,12100323B,No,4,1,,,,,-19.9806,148.2077
121,1210,Don,Don River,12100323A,No,4,1,,,,,-19.9806,148.2077
121,1210,Don,Don River,12100347A,No,4,1,,,,,-19.9737,148.2256
121,1210,Don,Don River,12100347B,No,4,1,,,,,-19.9737,148.2256
121,1210,Don,Don River,12100415A,No,4,1,,,,,-20.0168,148.1975
121,1210,Don,Don River,12100110A,No,4,1,Yes,,,,-19.7627,147.4772
121,1210,Don,Don River,12100107A,No,4,1,,,,,-19.7459,147.4100
121,1210,Don,Don River,12100135A,No,4,1,,,,,-19.9790,148.2277
121,1210,Don,Don River,12100135B,Yes,4,1,,,,,-19.9790,148.2277
121,1210,Don,Don River,12100135C,Yes,4,1,,,,,-19.9790,148.2277
121,1210,Don,Don River,12100145A,Yes,4,1,,,,,-20.0666,148.1080
121,1210,Don,Don River,12100192A,Yes,4,1,,,,,-20.1503,148.1303
121,1210,Don,Don River,12100214A,Yes,4,1,,,,,-20.1027,148.1163
121,1210,Don,Don River,12100334A,No,4,1,,,,,-20.0108,148.1884
121,1210,Don,Don River,12100047A,Yes,4,1,,,,,-20.0118,148.1300
121,1210,Don,Don River,12100154A,Yes,4,1,,,,,-20.0287,148.1480
121,1210,Don,Don River,12100319B,No,4,1,,,,,-19.9820,148.2027
121,1210,Don,Don River,12100319A,No,4,1,,,,,-19.9820,148.2027
121,1210,Don,Don River,12100345A,No,4,1,,,,,-20.0455,148.1791
121,1210,Don,Don River,12100345B,No,4,1,,,,,-20.0455,148.1791
121,1210,Don,Don River,12100102A,Yes,4,1,,,,,-20.0065,148.2085
121,1210,Don,Don River,12100141A,No,4,1,,,,,-19.9780,148.2011
121,1210,Don,Don River,12100141B,Yes,4,1,,,,,-19.9780,148.2011
121,1210,Don,Don River,12100193A,Yes,4,1,,,,,-20.1147,148.1438
121,1210,Don,Don River,12100310B,No,4,1,,,,,-19.9861,148.1768
121,1210,Don,Don River,12100337B,No,4,1,,,,,-19.9787,148.2053
121,1210,Don,Don River,12100337A,No,4,1,,,,,-19.9787,148.2053
121,1210,Don,Don River,12100516A,Yes,4,1,,,,,-20.0829,148.1818
122,1220,Proserpine,Proserpine River,12200134A,No,4,1,,,,,-20.3374,148.4199
122,1220,Proserpine,Proserpine River,12200046A,No,4,1,,,,,-20.3701,148.5893
122,1220,Proserpine,Proserpine River,12100074A,Yes,4,1,,,,,-19.9983,148.2238
122,1220,Proserpine,Proserpine River,12200047A,No,4,1,,,,,-20.3798,148.5880
122,1220,Proserpine,Proserpine River,12200282A,No,4,1,,,,,-20.3640,148.5129
122,1220,Proserpine,Proserpine River,12200282B,No,4,1,,,,,-20.3640,148.5129
122,1220,Proserpine,Proserpine River,12200003A,No,4,1,,,,,-20.3481,148.4450
122,1220,Proserpine,Proserpine River,12200222A,No,4,1,,,,,-20.3440,148.5226
122,1220,Proserpine,Proserpine River,12200036A,No,4,1,,,,,-20.3741,148.5508
122,1220,Proserpine,Proserpine River,12200098B,No,4,1,,,,,-20.3781,148.5640
122,1220,Proserpine,Proserpine River,12200155A,No,4,1,,,,,-20.4039,148.5685
122,1220,Proserpine,Proserpine River,12100136A,No,4,1,,,,,-19.9921,148.2318
122,1220,Proserpine,Proserpine River,12100136B,No,4,1,,,,,-19.9921,148.2318
122,1220,Proserpine,Proserpine River,12200119A,No,4,1,,,,,-20.3373,148.4814
122,1220,Proserpine,Proserpine River,12100137B,Yes,4,1,,,,,-19.9891,148.2367
122,1220,Proserpine,Proserpine River,12100137A,No,4,1,,,,,-19.9891,148.2367
122,1220,Proserpine,Proserpine River,12100137C,Yes,4,1,,,,,-19.9891,148.2367
122,1220,Proserpine,Proserpine River,12200007A,No,4,1,Yes,,Yes,,-20.3324,148.4893
122,1220,Proserpine,Proserpine River,12200006A,No,4,1,Yes,,,,-20.3211,148.4907
122,1220,Proserpine,Proserpine River,12200029A,No,4,1,Yes,,,,-20.4274,148.5055
122,1220,Proserpine,Proserpine River,12200051A,No,4,1,,,,,-20.4188,148.5836
122,1220,Proserpine,Proserpine River,12200015A,No,4,1,,,,,-20.3076,148.5338
122,1220,Proserpine,Proserpine River,12200113A,No,4,1,,,,,-20.3518,148.5430
122,1220,Proserpine,Proserpine River,12200138A,No,4,1,,,,,-20.3219,148.4647
122,1220,Proserpine,Proserpine River,12200069A,No,4,1,,,,,-20.4398,148.5907
122,1220,Proserpine,Proserpine River,12200114A,No,4,1,Yes,,,,-20.3415,148.5282
122,1220,Proserpine,Proserpine River,12200060A,No,2,1,Yes,,Yes,,-20.4219,148.6075
122,1220,Proserpine,Proserpine River,12100066A,Yes,4,1,,,,,-20.0073,148.2164
122,1220,Proserpine,Proserpine River,12200023A,No,4,1,,,,,-20.3645,148.5162
122,1220,Proserpine,Proserpine River,12200063A,No,4,1,,,,,-20.3337,148.6339
122,1220,Proserpine,Proserpine River,12200016A,No,4,1,Yes,,,,-20.3177,148.5288
122,1220,Proserpine,Proserpine River,12200203A,No,4,1,,,,,-20.3270,148.4674
122,1220,Proserpine,Proserpine River,12200073A,No,4,1,,,,,-20.3562,148.6105
122,1220,Proserpine,Proserpine River,12200030A,No,4,1,Yes,,,,-20.3400,148.5531
122,1220,Proserpine,Proserpine River,12200038A,No,4,1,,,,,-20.3867,148.5483
122,1220,Proserpine,Proserpine River,12200116A,No,4,1,,,,,-20.3292,148.5139
122,1220,Proserpine,Proserpine River,12200204A,No,4,1,,,,,-20.3365,148.4492
122,1220,Proserpine,Proserpine River,12200110A,No,4,1,,,,,-20.3737,148.4977
122,1220,Proserpine,Proserpine River,12200058A,No,4,1,Yes,,,,-20.4079,148.6093
122,1220,Proserpine,Proserpine River,12200212A,No,4,1,Yes,,,,-20.3660,148.5649
122,1220,Proserpine,Proserpine River,12200283A,No,4,1,,,,,-20.3647,148.4847
122,1220,Proserpine,Proserpine River,12200259B,No,4,1,,,,,-20.3842,148.5126
122,1220,Proserpine,Proserpine River,12200259A,No,4,1,,,,,-20.3842,148.5126
122,1220,Proserpine,Proserpine River,12200034A,No,4,1,Yes,,,,-20.3617,148.5541
122,1220,Proserpine,Proserpine River,12200018A,No,2,1,Yes,,Yes,,-20.3328,148.5271
122,1220,Proserpine,Proserpine River,12200150A,No,4,1,,,,,-20.3644,148.5537
122,1220,Proserpine,Proserpine River,12200076A,No,4,1,,,,,-20.3407,148.5042
122,1220,Proserpine,Proserpine River,12200056A,No,4,1,,,,,-20.3953,148.6112
122,1220,Proserpine,Proserpine River,12200031A,No,4,1,,,,,-20.3459,148.5527
122,1220,Proserpine,Proserpine River,12200061A,No,4,1,,,,,-20.3438,148.6323
122,1220,Proserpine,Proserpine River,12200285A,No,4,1,,,,QUATERNARY - UNDEFINED,-20.5048,148.5825
122,1220,Proserpine,Proserpine River,12200009A,No,4,1,Yes,,,,-20.3551,148.4859
122,1220,Proserpine,Proserpine River,12200067A,No,4,1,,,,,-20.4213,148.6419
122,1220,Proserpine,Proserpine River,12200156A,No,4,1,,,,,-20.4086,148.5806
122,1220,Proserpine,Proserpine River,12200226A,No,4,1,,,,,-20.3910,148.5782
122,1220,Proserpine,Proserpine River,12200286A,No,4,1,,,,QUATERNARY - UNDEFINED,-20.5384,148.6567
122,1220,Proserpine,Proserpine River,12200213A,No,4,1,Yes,,,,-20.3715,148.5639
122,1220,Proserpine,Proserpine River,12200220A,No,4,1,,,,,-20.3925,148.5935
124,1240,O'Connell,O'Connell River,12400017A,No,4,1,,,,CARMILA BEDS,-20.7370,148.6007
124,1240,O'Connell,O'Connell River,12400010A,No,4,1,,,,QUATERNARY - UNDEFINED,-20.5749,148.5970
124,1240,O'Connell,O'Connell River,12400014A,No,2,1,,,Yes,QUATERNARY - UNDEFINED,-20.5672,148.6179
124,1240,O'Connell,O'Connell River,12400008A,No,4,1,,,,QUATERNARY - UNDEFINED,-20.5451,148.6316
124,1240,O'Connell,O'Connell River,12400007A,No,4,1,,,,QUATERNARY - UNDEFINED,-20.5407,148.6443
124,1240,O'Connell,O'Connell River,12400011A,No,2,1,,,Yes,QUATERNARY - UNDEFINED,-20.5603,148.4949
125,1250,Pioneer,Pioneer River,12500059A,No,4,1,,,,,-21.1473,148.8097
125,1250,Pioneer,Pioneer River,12500274A,Yes,2,1,,,Yes,QUATERNARY - UNDEFINED,-21.1361,149.1322
125,1250,Pioneer,Pioneer River,12500033A,No,4,1,,,,,-21.1945,148.7224
125,1250,Pioneer,Pioneer River,12500094A,No,4,1,,,,,-21.1325,149.1161
125,1250,Pioneer,Pioneer River,12500044A,No,4,1,,,,,-21.2000,148.7653
125,1250,Pioneer,Pioneer River,12500071A,No,4,1,,,,,-21.1235,148.8713
125,1250,Pioneer,Pioneer River,12500046A,No,4,1,,,,,-21.2028,148.7773
125,1250,Pioneer,Pioneer River,12500060A,No,4,1,,,,,-21.1674,148.7484
125,1250,Pioneer,Pioneer River,12500072A,No,4,1,,,,,-21.1210,148.8996
125,1250,Pioneer,Pioneer River,12500023A,No,4,1,,,,,-21.1491,148.7196
125,1250,Pioneer,Pioneer River,12500023B,No,4,1,,,,,-21.1491,148.7196
125,1250,Pioneer,Pioneer River,12500498A,Yes,4,1,,,,PIONEER RIVER ALLUVIUM,-21.1507,149.1321
125,1250,Pioneer,Pioneer River,12500004B,No,2,1,,,,,-21.1422,148.5905
125,1250,Pioneer,Pioneer River,12500004A,No,4,1,,,,,-21.1422,148.5905
125,1250,Pioneer,Pioneer River,12500036A,No,4,1,,,,,-21.1680,148.7543
125,1250,Pioneer,Pioneer River,12500036B,No,4,1,,,,,-21.1680,148.7543
125,1250,Pioneer,Pioneer River,12500085A,No,4,1,,,,,-21.1442,148.9979
125,1250,Pioneer,Pioneer River,12600597A,Yes,4,1,,,,,-21.1624,149.1829
125,1250,Pioneer,Pioneer River,12600595A,Yes,4,1,,,,,-21.1624,149.1829
125,1250,Pioneer,Pioneer River,12500495A,No,4,1,,,,,-21.1737,148.8118
125,1250,Pioneer,Pioneer River,12500076A,No,4,1,,,,,-21.2256,148.8192
125,1250,Pioneer,Pioneer River,12600377A,No,2,1,,,Yes,,-21.1505,148.8985
125,1250,Pioneer,Pioneer River,12500013B,No,4,1,,,,,-21.1263,148.6797
125,1250,Pioneer,Pioneer River,12500013A,No,4,1,,,,,-21.1263,148.6797
125,1250,Pioneer,Pioneer River,12500494A,No,4,1,,,,,-21.1596,148.8316
125,1250,Pioneer,Pioneer River,12600353B,Yes,2,1,,,,,-21.1687,149.1948
125,1250,Pioneer,Pioneer River,12600353C,Yes,2,1,,,,,-21.1687,149.1948
125,1250,Pioneer,Pioneer River,12500075A,No,2,1,,,,,-21.1248,148.9256
125,1250,Pioneer,Pioneer River,12500080A,No,4,1,Yes,,,,-21.1483,148.9720
125,1250,Pioneer,Pioneer River,12500025A,No,4,1,,,,,-21.1734,148.6915
125,1250,Pioneer,Pioneer River,12500265A,No,4,1,,,,,-21.2292,148.7721
125,1250,Pioneer,Pioneer River,12500499A,Yes,4,1,,,,,-21.1509,149.1321
125,1250,Pioneer,Pioneer River,12500054A,No,4,1,,,,,-21.3120,148.8395
125,1250,Pioneer,Pioneer River,12500091A,No,4,1,,,,,-21.1262,149.0520
125,1250,Pioneer,Pioneer River,12600596A,Yes,4,1,,,,,-21.1624,149.1829
125,1250,Pioneer,Pioneer River,12500281A,No,4,1,,,,LIZZIE CREEK VOLCANIC GROUP,-21.1214,149.0918
125,1250,Pioneer,Pioneer River,12500079A,No,4,1,,,,,-21.1432,148.9279
125,1250,Pioneer,Pioneer River,12500037A,No,4,1,,,,,-21.1940,148.7417
